tech_id,tech_name,text,section
T1480,Execution Guardrails,Small Sieve  can only execute correctly if the word  Platypus  is passed to it on the command line.   [7],Procedure Examples
T1480,Execution Guardrails,"Stuxnet  checks for specific operating systems on 32-bit machines, Registry keys, and dates for vulnerabilities, and will exit execution if the values are not met.   [8]",Procedure Examples
T1480,Execution Guardrails,SUNSPOT  only replaces SolarWinds Orion source code if the MD5 checksums of both the original source code file and backdoored replacement source code match hardcoded values.   [9],Procedure Examples
T1480,Execution Guardrails,Torisma  is only delivered to a compromised host if the victim's IP address is on an allow-list.   [10],Procedure Examples
T1480,Execution Guardrails,VaporRage  has the ability to check for the presence of a specific DLL and terminate if it is not found.   [5],Procedure Examples
T1098.002,Account Manipulation: Additional Email Delegate Permissions,"Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account.    For example, the  Add-MailboxPermission   PowerShell  cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox.   [1]      [2]      [3]    In Google Workspace, delegation can be enabled via the Google Admin console and users can delegate accounts via their Gmail settings.   [4]      [5]       Adversaries may also assign mailbox folder permissions through individual folder permissions or roles. In Office 365 environments, adversaries may assign the Default or Anonymous user permissions or roles to the Top of Information Store (root), Inbox, or other mailbox folders. By assigning one or both user permissions to a folder, the adversary can utilize any other account in the tenant to maintain persistence to the target user’s mail folders.   [6]      This may be used in persistent threat incidents as well as BEC (Business Email Compromise) incidents where an adversary can add  Additional Cloud Roles  to the accounts they wish to compromise. This may further enable use of additional techniques for gaining access to systems. For example, compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules (ex:  Internal Spearphishing ), so the messages evade spam/phishing detection mechanisms.   [7]",Description
T1098.002,Account Manipulation: Additional Email Delegate Permissions,APT28  has used a Powershell cmdlet to grant the  ApplicationImpersonation  role to a compromised account.   [8],Procedure Examples
T1098.002,Account Manipulation: Additional Email Delegate Permissions,"APT29  added their own devices as allowed IDs for active sync using  Set-CASMailbox , allowing it to obtain copies of victim mailboxes. It also added additional permissions (such as Mail.Read and Mail.ReadWrite) to compromised Application or Service Principals.   [9]      [10]      [11]",Procedure Examples
T1098.002,Account Manipulation: Additional Email Delegate Permissions,Magic Hound  granted compromised email accounts read access to the email boxes of additional targeted accounts. The group then was able to authenticate to the intended victim's OWA (Outlook Web Access) portal and read hundreds of email communications for information on Middle East organizations.   [2],Procedure Examples
T1207,Rogue Domain Controller,"Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data. DCShadow may be used to create a rogue Domain Controller (DC). DCShadow is a method of manipulating Active Directory (AD) data, including objects and schemas, by registering (or reusing an inactive registration) and simulating the behavior of a DC.    [1]    Once registered, a rogue DC may be able to inject and replicate changes into AD infrastructure for any domain object, including credentials and keys.   Registering a rogue DC involves creating a new server and nTDSDSA objects in the Configuration partition of the AD schema, which requires Administrator privileges (either Domain or local to the DC) or the KRBTGT hash.    [2]      This technique may bypass system logging and security monitors such as security information and event management (SIEM) products (since actions taken on a rogue DC may not be reported to these sensors).    [1]    The technique may also be used to alter and delete replication and other associated metadata to obstruct forensic analysis. Adversaries may also utilize this technique to perform  SID-History Injection  and/or manipulate AD objects (such as accounts, access control lists, schemas) to establish backdoors for Persistence.    [1]",Description
T1207,Rogue Domain Controller,Mimikatz ’s  LSADUMP::DCShadow  module can be used to make AD updates by temporarily setting a computer to be a DC.   [3]      [2],Procedure Examples
T1594,Search Victim-Owned Websites,"Adversaries may search websites owned by the victim for information that can be used during targeting. Victim-owned websites may contain a variety of details, including names of departments/divisions, physical locations, and data about key employees such as names, roles, and contact info (ex:  Email Addresses ). These sites may also have details highlighting business operations and relationships.   [1]      Adversaries may search victim-owned websites to gather actionable information. Information from these sources may reveal opportunities for other forms of reconnaissance (ex:  Phishing for Information  or  Search Open Technical Databases ), establishing operational resources (ex:  Establish Accounts  or  Compromise Accounts ), and/or initial access (ex:  Trusted Relationship  or  Phishing ).",Description
T1594,Search Victim-Owned Websites,EXOTIC LILY  has used contact forms on victim websites to generate phishing e-mails.   [2],Procedure Examples
T1594,Search Victim-Owned Websites,Kimsuky  has searched for information on the target company's website.   [3],Procedure Examples
T1594,Search Victim-Owned Websites,Sandworm Team  has conducted research against potential victim websites as part of its operational planning.   [4],Procedure Examples
T1594,Search Victim-Owned Websites,"Silent Librarian  has searched victim's websites to identify the interests and academic areas of targeted individuals and to scrape source code, branding, and organizational contact information for phishing pages.   [5]      [6]      [7]",Procedure Examples
T1547.012,Boot or Logon Autostart Execution: Print Processors,"Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print spooler service, spoolsv.exe, during boot.    Adversaries may abuse the print spooler service by adding print processors that load malicious DLLs at startup. A print processor can be installed through the  AddPrintProcessor  API call with an account that has  SeLoadDriverPrivilege  enabled. Alternatively, a print processor can be registered to the print spooler service by adding the  HKLM\SYSTEM\[CurrentControlSet or ControlSet001]\Control\Print\Environments\[Windows architecture: e.g., Windows x64]\Print Processors\[user defined]\Driver  Registry key that points to the DLL. For the print processor to be correctly installed, it must be located in the system print-processor directory that can be found with the  GetPrintProcessorDirectory  API call.   [1]    After the print processors are installed, the print spooler service, which starts during boot, must be restarted in order for them to run.   [2]    The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges.",Description
T1547.012,Boot or Logon Autostart Execution: Print Processors,"Earth Lusca  has added the Registry key  HKLM\SYSTEM\ControlSet001\Control\Print\Environments\Windows x64\Print Processors\UDPrint"" /v Driver /d ""spool.dll /f  to load malware as a Print Processor.   [3]",Procedure Examples
T1547.012,Boot or Logon Autostart Execution: Print Processors,Gelsemium  can drop itself in  C:\Windows\System32\spool\prtprocs\x64\winprint.dll  to be loaded automatically by the spoolsv Windows service.   [4],Procedure Examples
T1547.012,Boot or Logon Autostart Execution: Print Processors,The  PipeMon  installer has modified the Registry key  HKLM\SYSTEM\CurrentControlSet\Control\Print\Environments\Windows x64\Print Processors  to install  PipeMon  as a Print Processor.   [2],Procedure Examples
T1567.001,Exfiltration Over Web Service: Exfiltration to Code Repository,"Adversaries may exfiltrate data to a code repository rather than over their primary command and control channel. Code repositories are often accessible via an API (ex: https://api.github.com). Access to these APIs are often over HTTPS, which gives the adversary an additional level of protection.   Exfiltration to a code repository can also provide a significant amount of cover to the adversary if it is a popular service already used by hosts within the network.",Description
T1567.001,Exfiltration Over Web Service: Exfiltration to Code Repository,Empire  can use GitHub for data exfiltration.   [1],Procedure Examples
T1591.001,Gather Victim Org Information: Determine Physical Locations,"Adversaries may gather the victim's physical location(s) that can be used during targeting. Information about physical locations of a target organization may include a variety of details, including where key resources and infrastructure are housed. Physical locations may also indicate what legal jurisdiction and/or authorities the victim operates within.   Adversaries may gather this information in various ways, such as direct elicitation via  Phishing for Information . Physical locations of a target organization may also be exposed to adversaries via online or other accessible data sets (ex:  Search Victim-Owned Websites  or  Social Media ).   [1]      [2]    Gathering this information may reveal opportunities for other forms of reconnaissance (ex:  Phishing for Information  or  Search Open Websites/Domains ), establishing operational resources (ex:  Develop Capabilities  or  Obtain Capabilities ), and/or initial access (ex:  Phishing  or  Hardware Additions ).",Description
T1027.003,Obfuscated Files or Information: Steganography,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.    Duqu  was an early example of malware that used steganography. It encrypted the gathered information from a victim's system and hid it within an image before exfiltrating the image to a C2 server.   [1]       By the end of 2017, a threat group used  Invoke-PSImage  to hide  PowerShell  commands in an image file (.png) and execute the code on a victim's system. In this particular case the  PowerShell  code downloaded another obfuscated script to gather intelligence from the victim's machine and communicate it back to the adversary.   [2]",Description
T1027.003,Obfuscated Files or Information: Steganography,ABK  can extract a malicious Portable Executable (PE) from a photo.   [3],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Andariel  has hidden malicious executables within PNG files.   [4]      [5],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,APT37  uses steganography to send images to users that are embedded with shellcode.   [6]      [7],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Avenger  can extract backdoor malware from downloaded images.   [3],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Bandook  has used .PNG images within a zip file to build the executable.    [8],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,BBK  can extract a malicious Portable Executable (PE) from a photo.   [3],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,BRONZE BUTLER  has used steganography in multiple operations to conceal malicious payloads.   [3],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,build_downer  can extract malware from a downloaded JPEG.   [3],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Diavol  has obfuscated its main code routines within bitmap images as part of its anti-analysis techniques.   [9],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Earth Lusca  has used steganography to hide shellcode in a BMP image file.   [10],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,IcedID  has embedded binaries within RC4 encrypted .png files.   [11],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Invoke-PSImage  can be used to embed a PowerShell script within the pixels of a PNG file.   [12],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Leviathan  has used steganography to hide stolen data inside other files stored on Github.   [13],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,LiteDuke  has used image files to hide its loader component.   [14],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,MuddyWater  has stored obfuscated JavaScript code in an image file named temp.jpg.   [15],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,ObliqueRAT  can hide its payload in BMP images hosted on compromised websites.   [16],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,"Okrum 's payload is encrypted and embedded within its loader, or within a legitimate PNG file.   [17]",Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,"For  Operation Spalax , the threat actors used packers that read pixel data from images contained in PE files' resource sections and build the next layer of execution from the data.   [18]",Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,PolyglotDuke  can use steganography to hide C2 information in images.   [14],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,"PowerDuke  uses steganography to hide backdoors in PNG files, which are also encrypted using the Tiny Encryption Algorithm (TEA).   [19]",Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,ProLock  can use .jpg and .bmp files to store its payload.   [20],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Raindrop  used steganography to locate the start of its encoded payload within legitimate 7-Zip code.   [21],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Ramsay  has PE data embedded within JPEG files contained within Word documents.   [22],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,RDAT  can also embed data within a BMP image prior to exfiltration.   [23],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,"RegDuke  can hide data in images, including use of the Least Significant Bit (LSB).   [14]",Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,TA551  has hidden encoded data for malware DLLs in a PNG.   [24],Procedure Examples
T1027.003,Obfuscated Files or Information: Steganography,Tropic Trooper  has used JPG files with encrypted payloads to mask their backdoor routines and evade detection.   [25],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. These can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or service, or source code/binary files containing embedded passwords.   It is possible to extract passwords from backups or saved virtual machines through  OS Credential Dumping .    [1]    Passwords may also be obtained from Group Policy Preferences stored on the Windows Domain Controller.    [2]      In cloud and/or containerized environments, authenticated user and service account credentials are often stored in local configuration and credential files.   [3]    They may also be found as parameters to deployment commands in container logs.   [4]    In some cases, these files can be copied and reused on another machine or the contents can be read and then used to authenticate without needing to copy any files.   [5]",Description
T1552.001,Unsecured Credentials: Credentials In Files,"AADInternals  can gather unsecured credentials for Azure AD services, such as Azure AD Connect, from a local machine.   [6]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Agent Tesla  has the ability to extract credentials from configuration or support files.   [7],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,APT3  has a tool that can locate credentials in files on the file system such as those from Firefox or Chrome.   [8],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,APT33  has used a variety of publicly available tools like  LaZagne  to gather credentials.   [9]      [10],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"Azorult  can steal credentials in files belonging to common software such as Skype, Telegram, and Steam.   [11]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"BlackEnergy  has used a plug-in to gather credentials stored in files on the host by various software programs, including The Bat! email client, Outlook, and Windows Credential Store.   [12]      [13]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Emotet  has been observed leveraging a module that retrieves passwords stored on a system for the current logged-on user.    [14]      [15],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Empire  can use various modules to search for files containing passwords.   [16],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Fox Kitten  has accessed files to gain valid credentials.   [17],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"Hildegard  has searched for SSH keys, Docker credentials, and Kubernetes service tokens.   [3]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"jRAT  can capture passwords from common chat applications such as MSN Messenger, AOL, Instant Messenger, and and Google Talk.   [18]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Kimsuky  has used tools that are capable of obtaining credentials from saved mail.   [19],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"LaZagne  can obtain credentials from chats, databases, mail, and WiFi.   [20]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"Leafminer  used several tools for retrieving login and password information, including LaZagne.   [21]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,MuddyWater  has run a tool that steals passwords saved in victim email.   [22],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,OilRig  has used credential dumping tools such as  LaZagne  to steal credentials to accounts logged into the compromised system and to Outlook Web Access.   [23]      [24]      [25]      [26],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"If an initial connectivity check fails,  pngdowner  attempts to extract proxy details and credentials from Windows Protected Storage and from the IE Credentials Store. This allows the adversary to use the proxy credentials for subsequent requests if they enable outbound HTTP access.   [27]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,PoshC2  contains modules for searching for passwords in local and remote files.   [28],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Pupy  can use Lazagne for harvesting credentials.   [29],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Pysa  has extracted credentials from the password database before encrypting the files.   [30],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,QuasarRAT  can obtain passwords from FTP clients.   [31]      [32],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,Smoke Loader  searches for files named logins.json to parse for credentials.   [33],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,TA505  has used malware to gather credentials from FTP clients and Outlook.   [34],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,TeamTNT  has searched for unsecured AWS credentials and Docker API credentials.   [35]      [36]      [37],Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,"TrickBot  can obtain passwords stored in files from several applications such as Outlook, Filezilla, OpenSSH, OpenVPN and WinSCP.   [38]      [39]    Additionally, it searches for the "".vnc.lnk"" affix to steal VNC credentials.   [40]",Procedure Examples
T1552.001,Unsecured Credentials: Credentials In Files,XTunnel  is capable of accessing locally stored passwords on victims.   [41],Procedure Examples
T1552.007,Unsecured Credentials: Container API,"Adversaries may gather credentials via APIs within a containers environment. APIs in these environments, such as the Docker API and Kubernetes APIs, allow a user to remotely manage their container resources and cluster components.   [1]      [2]      An adversary may access the Docker API to collect logs that contain credentials to cloud, container, and various other resources in the environment.   [3]    An adversary with sufficient permissions, such as via a pod's service account, may also use the Kubernetes API to retrieve credentials from the Kubernetes API server. These credentials may include those needed for Docker API authentication or secrets from Kubernetes cluster components.",Description
T1552.007,Unsecured Credentials: Container API,Peirates  can query the Kubernetes API for secrets.   [4],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,"Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.   [1]      On Windows Vista and newer, the hash format is DCC2 (Domain Cached Credentials version 2) hash, also known as MS-Cache v2 hash.   [2]    The number of default cached credentials varies and can be altered per system. This hash does not allow pass-the-hash style attacks, and instead requires  Password Cracking  to recover the plaintext password.   [3]      With SYSTEM access, the tools/utilities such as  Mimikatz ,  Reg , and secretsdump.py can be used to extract the cached credentials.   Note: Cached credentials for Windows Vista are derived using PBKDF2.   [2]",Description
T1003.005,OS Credential Dumping: Cached Domain Credentials,APT33  has used a variety of publicly available tools like  LaZagne  to gather credentials.   [4]      [5],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,Cachedump  can extract cached password hashes from cache entry information.   [6],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,LaZagne  can perform credential dumping from MSCache to obtain account and password information.   [7],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,"Leafminer  used several tools for retrieving login and password information, including LaZagne.   [8]",Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,MuddyWater  has performed credential dumping with  LaZagne .   [9]      [10],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,OilRig  has used credential dumping tools such as  LaZagne  to steal credentials to accounts logged into the compromised system and to Outlook Web Access.   [11]      [12]      [13]      [14],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,Okrum  was seen using modified Quarks PwDump to perform credential dumping.   [15],Procedure Examples
T1003.005,OS Credential Dumping: Cached Domain Credentials,Pupy  can use Lazagne for harvesting credentials.   [16],Procedure Examples
T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,"Adversaries may execute their own malicious payloads by hijacking the Registry entries used by services. Adversaries may use flaws in the permissions for Registry keys related to services to redirect from the originally specified executable to one that they control, in order to launch their own code when a service starts. Windows stores local service configuration information in the Registry under  HKLM\SYSTEM\CurrentControlSet\Services . The information stored under a service's Registry keys can be manipulated to modify a service's execution parameters through tools such as the service controller, sc.exe,   PowerShell , or  Reg . Access to Registry keys is controlled through access control lists and user permissions.    [1]      [2]      If the permissions for users and groups are not properly set and allow access to the Registry keys for a service, adversaries may change the service's binPath/ImagePath to point to a different executable under their control. When the service starts or is restarted, then the adversary-controlled program will execute, allowing the adversary to establish persistence and/or privilege escalation to the account context the service is set to execute under (local/domain account, SYSTEM, LocalService, or NetworkService).   Adversaries may also alter other Registry keys in the service’s Registry tree. For example, the  FailureCommand  key may be changed so that the service is executed in an elevated context anytime the service fails or is intentionally corrupted.   [3]      [4]      The  Performance  key contains the name of a driver service's performance DLL and the names of several exported functions in the DLL.   [5]    If the  Performance  key is not already present and if an adversary-controlled user has the  Create Subkey  permission, adversaries may create the  Performance  key in the service’s Registry tree to point to a malicious DLL.   [6]      Adversaries may also add the  Parameters  key, which stores driver-specific data, or other custom subkeys for their malicious services to establish persistence or enable other malicious activities.   [5]      [7]    Additionally, If adversaries launch their malicious services using svchost.exe, the service’s file may be identified using  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\servicename\Parameters\ServiceDll .   [2]",Description
T1574.011,Hijack Execution Flow: Services Registry Permissions Weakness,"During  Operation Honeybee , the threat actors used a batch file that modified the COMSysApp service to load a malicious ipnet.dll payload and to load a DLL into the  svchost.exe  process.   [8]",Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,"Adversaries may environmentally key payloads or other features of malware to evade defenses and constraint execution to a specific target environment. Environmental keying uses cryptography to constrain execution or actions based on adversary supplied environment specific conditions that are expected to be present on the target. Environmental keying is an implementation of  Execution Guardrails  that utilizes cryptographic techniques for deriving encryption/decryption keys from specific types of values in a given computing environment.   [1]      Values can be derived from target-specific elements and used to generate a decryption key for an encrypted payload. Target-specific values can be derived from specific network shares, physical devices, software/software versions, files, joined AD domains, system time, and local/external IP addresses.   [2]      [3]      [4]      [5]      [6]    By generating the decryption keys from target-specific environmental values, environmental keying can make sandbox detection, anti-virus detection, crowdsourcing of information, and reverse engineering difficult.   [2]      [6]    These difficulties can slow down the incident response process and help adversaries hide their tactics, techniques, and procedures (TTPs).   Similar to  Obfuscated Files or Information , adversaries may use environmental keying to help protect their TTPs and evade detection. Environmental keying may be used to deliver an encrypted payload to the target that will use target-specific values to decrypt the payload before execution.   [2]      [4]      [5]      [6]      [7]    By utilizing target-specific values to decrypt the payload the adversary can avoid packaging the decryption key with the payload or sending it over a potentially monitored network connection. Depending on the technique for gathering target-specific values, reverse engineering of the encrypted payload can be exceptionally difficult.   [2]    This can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within.   Like other  Execution Guardrails , environmental keying can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within. This activity is distinct from typical  Virtualization/Sandbox Evasion . While use of  Virtualization/Sandbox Evasion  may involve checking for known sandbox values and continuing with execution only if there is no match, the use of environmental keying will involve checking for an expected target-specific value that must match for decryption and subsequent execution to be successful.",Description
T1480.001,Execution Guardrails: Environmental Keying,"APT41  has encrypted payloads using the Data Protection API (DPAPI), which relies on keys tied to specific user accounts on specific machines.  APT41  has also environmentally keyed second stage malware with an RC5 key derived in part from the infected system's volume serial number.   [8]",Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,Equation  has been observed utilizing environmental keying in payload delivery.   [2]      [9],Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,"InvisiMole  can use Data Protection API to encrypt its components on the victim’s computer, to evade detection, and to make sure the payload can only be decrypted and loaded on one specific compromised computer.   [10]",Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,PowerPunch  can use the volume serial number from a target host to generate a unique XOR key for the next stage payload.   [11],Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,ROKRAT  relies on a specific victim hostname to execute and decrypt important strings.   [12],Procedure Examples
T1480.001,Execution Guardrails: Environmental Keying,The  Winnti for Windows  dropper component can verify the existence of a single command line parameter and either terminate if it is not found or later use it as a decryption key.   [13],Procedure Examples
T1648,Serverless Execution,"Adversaries may abuse serverless computing, integration, and automation services to execute arbitrary code in cloud environments. Many cloud providers offer a variety of serverless resources, including compute engines, application integration services, and web servers.    Adversaries may abuse these resources in various ways as a means of executing arbitrary commands. For example, adversaries may use serverless functions to execute malicious code, such as crypto-mining malware (i.e.  Resource Hijacking ).   [1]    Adversaries may also create functions that enable further compromise of the cloud environment. For example, an adversary may use the  IAM:PassRole  permission in AWS or the  iam.serviceAccounts.actAs  permission in Google Cloud to add  Additional Cloud Roles  to a serverless cloud function, which may then be able to perform actions the original user cannot.   [2]      [3]      Serverless functions can also be invoked in response to cloud events (i.e.  Event Triggered Execution ), potentially enabling persistent execution over time. For example, in AWS environments, an adversary may create a Lambda function that automatically adds  Additional Cloud Credentials  to a user and a corresponding CloudWatch events rule that invokes that function whenever a new user is created.   [4]    Similarly, an adversary may create a Power Automate workflow in Office 365 environments that forwards all emails a user receives or creates anonymous sharing links whenever a user is granted access to a document in SharePoint.   [5]      [6]",Description
T1080,Taint Shared Content,"Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files. Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system. Adversaries may use tainted shared content to move laterally.   A directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory. It uses  Shortcut Modification  of directory .LNK files that use  Masquerading  to look like the real directories, which are hidden through  Hidden Files and Directories . The malicious .LNK-based directories have an embedded command that executes the hidden malware file in the directory and then opens the real intended directory so that the user's expected action still occurs. When used with frequently used network directories, the technique may result in frequent reinfections and broad access to systems and potentially to new and higher privileged accounts.    [1]      Adversaries may also compromise shared network directories through binary infections by appending or prepending its code to the healthy binary on the shared network directory. The malware may modify the original entry point (OEP) of the healthy binary to ensure that it is executed before the legitimate code. The infection could continue to spread via the newly infected file when it is executed by a remote system. These infections may target both binary and non-binary formats that end with extensions including, but not limited to, .EXE, .DLL, .SCR, .BAT, and/or .VBS.",Description
T1080,Taint Shared Content,BRONZE BUTLER  has placed malware on file shares and given it the same name as legitimate documents on the share.   [2],Procedure Examples
T1080,Taint Shared Content,Conti  can spread itself by infecting other remote machines via network shared drives.   [3]      [4],Procedure Examples
T1080,Taint Shared Content,Darkhotel  used a virus that propagates by infecting executables stored on shared drives.   [5],Procedure Examples
